Date,Ticker,Variable,Value,RobustZ,Disposition
2020-03-16,SPY,LogReturn,-0.11588671199287122,-16.600326064928275,Retained; valid positive OHLCV observation
2020-03-12,SPY,LogReturn,-0.10056904989409701,-14.419396343360933,Retained; valid positive OHLCV observation
2025-04-09,SPY,LogReturn,0.09986280912531384,14.118104723424542,Retained; valid positive OHLCV observation
2020-03-24,SPY,LogReturn,0.08673073485644357,12.248359138613607,Retained; valid positive OHLCV observation
2020-03-09,SPY,LogReturn,-0.08131229581099698,-11.677618449976865,Retained; valid positive OHLCV observation
2020-03-13,SPY,LogReturn,0.08202833545659118,11.57883120754381,Retained; valid positive OHLCV observation
2011-08-08,SPY,LogReturn,-0.06734058006605467,-9.688324657429142,Retained; valid positive OHLCV observation
2020-04-06,SPY,LogReturn,0.0650070004128814,9.15533242174979,Retained; valid positive OHLCV observation
2025-04-04,SPY,LogReturn,-0.06032671113300068,-8.68968954453555,Retained; valid positive OHLCV observation
2020-06-11,SPY,LogReturn,-0.059376950179434465,-8.554462518462005,Retained; valid positive OHLCV observation
2011-08-09,SPY,LogVolume,20.39174151916072,4.048033827741757,Retained; valid positive OHLCV observation
2011-08-08,SPY,LogVolume,20.369819817273562,4.005426824438029,Retained; valid positive OHLCV observation
2011-08-10,SPY,LogVolume,20.31169321589327,3.8924520057039387,Retained; valid positive OHLCV observation
2011-08-05,SPY,LogVolume,20.30109069055521,3.8718449454295136,Retained; valid positive OHLCV observation
2010-05-06,SPY,LogVolume,20.28840785982902,3.8471946051670245,Retained; valid positive OHLCV observation
2010-05-07,SPY,LogVolume,20.27315706603756,3.817553173821863,Retained; valid positive OHLCV observation
2010-05-20,SPY,LogVolume,20.089176498503182,3.4599686811073296,Retained; valid positive OHLCV observation
2011-08-04,SPY,LogVolume,20.07072648397462,3.4241092467432157,Retained; valid positive OHLCV observation
2011-09-22,SPY,LogVolume,20.057561240434467,3.3985212892982557,Retained; valid positive OHLCV observation
2011-08-18,SPY,LogVolume,20.055701214321395,3.394906143943548,Retained; valid positive OHLCV observation
2020-03-16,QQQ,LogReturn,-0.12759226308233546,-14.362525686059461,Retained; valid positive OHLCV observation
2025-04-09,QQQ,LogReturn,0.11335620147150638,12.50814154297349,Retained; valid positive OHLCV observation
2020-03-12,QQQ,LogReturn,-0.0961712358599727,-10.85844041185001,Retained; valid positive OHLCV observation
2020-03-13,QQQ,LogReturn,0.08130868579093009,8.934190030294094,Retained; valid positive OHLCV observation
2020-03-24,QQQ,LogReturn,0.07458554584491285,8.18442282775905,Retained; valid positive OHLCV observation
2020-03-09,QQQ,LogReturn,-0.07199496597683858,-8.162293316362616,Retained; valid positive OHLCV observation
2020-03-17,QQQ,LogReturn,0.07310311723343818,8.019101807832683,Retained; valid positive OHLCV observation
2022-11-10,QQQ,LogReturn,0.07119288934730912,7.806072445081451,Retained; valid positive OHLCV observation
2020-04-06,QQQ,LogReturn,0.06905492852267738,7.567646215747454,Retained; valid positive OHLCV observation
2025-04-04,QQQ,LogReturn,-0.06412135450059009,-7.284225077742687,Retained; valid positive OHLCV observation
2010-05-07,QQQ,LogVolume,19.479166629453786,3.760141850552014,Retained; valid positive OHLCV observation
2010-05-06,QQQ,LogVolume,19.429940007019574,3.666919457759489,Retained; valid positive OHLCV observation
2010-01-28,QQQ,LogVolume,19.21566132721398,3.261131486370695,Retained; valid positive OHLCV observation
2016-12-21,QQQ,LogVolume,15.77268559072544,-3.2589672043532825,Retained; valid positive OHLCV observation
2019-12-24,QQQ,LogVolume,15.774054844837154,-3.256374193938935,Retained; valid positive OHLCV observation
2016-11-25,QQQ,LogVolume,15.784411523944742,-3.236761343004789,Retained; valid positive OHLCV observation
2011-08-05,QQQ,LogVolume,19.182008866473677,3.1974024966810175,Retained; valid positive OHLCV observation
2010-02-05,QQQ,LogVolume,19.179702739910873,3.193035294024482,Retained; valid positive OHLCV observation
2010-01-29,QQQ,LogVolume,19.172566533630256,3.179521179262105,Retained; valid positive OHLCV observation
2011-08-10,QQQ,LogVolume,19.14298810362489,3.1235073419562562,Retained; valid positive OHLCV observation
2013-04-15,GLD,LogReturn,-0.09190507457983844,-12.00778825923053,Retained; valid positive OHLCV observation
2025-10-21,GLD,LogReturn,-0.066427122202817,-8.697779197692201,Retained; valid positive OHLCV observation
2011-09-23,GLD,LogReturn,-0.0562714947767603,-7.378394566289388,Retained; valid positive OHLCV observation
2020-08-11,GLD,LogReturn,-0.05518972671897942,-7.237854933404022,Retained; valid positive OHLCV observation
2013-06-20,GLD,LogReturn,-0.05501208351122277,-7.214776131046044,Retained; valid positive OHLCV observation
2012-02-29,GLD,LogReturn,-0.054486874448655936,-7.1465427530032235,Retained; valid positive OHLCV observation
2013-04-12,GLD,LogReturn,-0.048144932178246586,-6.322619147519901,Retained; valid positive OHLCV observation
